,word,candidates
80,රණවීර,"['රනවීර', ' රණවීර']"
81,ලග්ගල,['ලග්ගල']
82,මිදි,['දිමි']
83,ඒකාකාරී,['ඒකාකාරී']
84,දීය,['යදී']
85,නාඳුනන,['නාඳුනන']
86,ලක්කර,['කරලක්']
87,පසුබිම්,['පසුම්බි']
88,පාලි,['ලිපා']
89,සාද,['දසා']
90,මව්බිම,['මව්බිම']
91,රත්රන්,['රත්රන්']
92,නියඟය,['නියඟය']
93,යනා,['නාය']
94,රවී,['වීර']
95,වේදිකාවේ,['වේදිකාවේ']
96,ස්විස්,['ස්විස්']
97,වංචාව,['වංචාව']
98,හේවා,['වාහේ']
99,කිය,['යකි']
100,වාත,['තවා']
101,රසික,['සිකර']
102,වතාව,['වතාව']
103,යටතේය,['යටතේය']
104,ලාබ,['බලා']
105,යාපා,['පායා']
106,සිසිලස,['සිසිලස']
107,කුකුළන්,"['කුකුලන්', ' කුකුළන්']"
108,නසා,['සාන']
109,ගරා,['රාග']
110,පුපුරා,['පුපුරා']
111,නිලතල,['නිලතල']
112,බර්ගර්,['බර්ගර්']
113,වේලාවේ,['වේලාවේ']
114,යලි,"['යළි', ' ලිය']"
115,ලක්විය,['යක්විල']
116,වලසුන්,['ලන්සුව']
117,නැවතුම,['නැතුවම']
118,මුව,['වමු']
119,දාන,['නදා']
120,මියයන,['මියයන']
121,පසුපස,['පසුපස']
122,බෝම්බ,['බෝම්බ']
123,වෙනව,['වෙනව']
124,හැමෝම,['හැමෝම']
125,භාවනාව,['භාවනාව']
126,නවා,['වාන']
127,මාර,['රමා']
128,ශෝක,['කෝශ']
129,කටුක,['කටුක']
130,ශිරා,['රාශි']
131,වස්තුව,['වස්තුව']
132,සේක,['කසේ']
133,රුදුරු,['රුදුරු']
134,සපා,['පාස']
135,සාන්ත,"['ශාන්ත', ' සාතන්']"
136,වූවක්,['වූවක්']
137,තාත්තා,['තාත්තා']
138,සෛලවල,['සෛලවල']
139,ටික,['කටි']
140,වීර්යය,['වීර්යය']
141,සුසුම්,['සුසුම්']
142,විනා,['නාවි']
143,නොදැන,['නොදැන']
144,රදා,"['දාර', ' රඳා']"
145,සාරා,['රාසා']
146,නේද,['දනේ']
147,මක්,['ක්ම']
148,ලතා,['තාල']
149,යෂ්ටිය,['යෂ්ටිය']
150,සුර,['රසු']
151,මසා,['සාම']
152,යාග,['ගයා']
153,පායා,['යාපා']
154,චෝල,"['චෝළ', ' චලෝ']"
155,විස,['සවි']
156,ගාන,"['ගාණ', ' නගා']"
157,සිනා,['නාසි']
158,දාර,['රදා']
159,හැමදාම,['හැමදාම']
160,කුකුළා,['කුකුළා']
161,රකින,['කිරන']
162,තාත්තාත්,['තාත්තාත්']
163,පේළි,"['පේලි', ' ළිපේ']"
164,මාමා,['මාමා']
165,කණිෂ්ක,"['කනිෂ්ක', ' කණිෂ්ක']"
166,ඒකාකාර,['ඒකාකාර']
167,මෙලෝ,['මෝලෙ']
168,මිමි,['මිමි']
169,නිවා,['වානි']
170,යති,['තිය']
171,කකා,['කාක']
172,යකා,['කාය']
173,දෙදරා,['දෙදරා']
174,පලි,"['පළි', ' ලිප']"
175,සාර,['රසා']
176,ළිප,"['පළි', ' ලිප']"
177,රාශි,"['ශිරා', ' රාසි']"
178,දුරදිග,['දිගදුර']
179,කෞතුක,['කෞතුක']
180,සේද,['දසේ']
181,ලිහා,['හාලි']
182,සාරි,['රිසා']
183,දේම,['මදේ']
184,හඳුනන,['හඳුනන']
185,විරසක,['සවිකර']
186,පළි,"['පලි', ' ළිප']"
187,මේව,['වමේ']
188,බලවතා,['බවලතා']
189,මකා,['කාම']
190,ක්ම,['මක්']
191,ගූගල්,['ගූගල්']
192,මද්දුම,['මද්දුම']
193,වාම,['මවා']
194,ගියෝය,"['යෝගිය', ' ගියෝය']"
195,සිරකරු,['සිරුරක']
196,රාම,['මරා']
197,බලද්දි,['ලබද්දි']
198,සැකකරු,['සැකකරු']
199,දාව,['වදා']
200,දෙදරු,['දෙදරු']
201,ගේම,['මගේ']
202,ටවුමට,['ටවුමට']
203,යාවි,['වියා']
204,ගෙහිමි,['හිමිගෙ']
205,ලබපු,['බලපු']
206,පේලි,"['පේළි', ' ලිපේ']"
207,තිරුපති,['තිරුපති']
208,ගැණිනි,"['ගැනිනි', ' ගැනිණි']"
209,තේවා,['වාතේ']
210,ටිකකට,['ටිකකට']
211,වූවද,['වූවද']
212,වනා,['නාව']
213,විදි,"['දිවි', ' විඳි']"
214,දක්වාද,['දක්වාද']
215,ලබලා,['බලලා']
216,සිරා,"['ශිරා', ' රාසි']"
217,යාචකයා,['යාචකයා']
218,තොටට,['තොටට']
219,නවාතැන,['නවාතැන']
220,කියලාය,['කියලාය']
221,යන්නේය,['යන්නේය']
222,කනිෂ්ක,"['කනිෂ්ක', ' කණිෂ්ක']"
223,මොනම,['මොනම']
224,ලහි,['හිල']
225,ශානි,['නිශා']
226,ලෙවල්,"['වල්ලෙ', ' වෙල්ල']"
227,ඇයිදැයි,['ඇයිදැයි']
228,භාවිතයෙන්,['භාවිතයෙ']
229,සඳහා,"['සදහා', ' සඳ']"
230,අනුමැතිය,['අනුමැති']
231,වාසුදේව,['සුදේව']
232,මැතිතුමාගේ,['මැතිතුමා']
233,අධීක්ෂණය,['අධීක්ෂණ']
234,කිරීම,"['කිරී', ' කිම', ' රීම']"
235,ආයතනයෙහි,['ආයතනයෙ']
236,පංතිය,"['පංති', ' තියපං']"
237,බලපෑම්,['බලපෑ']
238,අලාභ,"['අලාබ', ' ලාභ']"
239,දිනෙන්,"['දිනෙ', ' නෙන්']"
240,ආයතනයකින්,['ආයතනයකි']
241,සිතියම්,"['සිතිය', ' සියම්']"
242,පුරුක්,['රුක්']
243,දෙකක්,['දෙක']
244,සභාපතිවරුන්,['සභාපතිවරු']
245,සාමාජිකයන්,['සාමාජිකය']
246,මණ්ඩලය,"['මණ්ඩල', ' මන්ඩලය', ' මණ්ඩය']"
247,සඳහන්,"['සදහන්', ' සහන්']"
248,මාර්ගය,['මාර්ග']
249,කිරීමට,"['කිරීම', ' කිරීට']"
250,වෙනුවෙන්,['වෙනුවෙ']
251,අධිකාරිය,"['අදිකාරිය', ' අධිකාරි']"
252,අංශයෙන්,"['අංශෙන්', ' අංශයෙ']"
253,මැලේරියාව,['මැලේරියා']
254,ලිපිනයේ,"['ලිපින', ' ලිපියේ']"
255,පරමාණුක,['පරමාණු']
256,ගිවිසුමකට,"['ගිවිසුමක', ' ගිවිසුමට']"
257,කාර්තුව,['කාර්තු']
258,කිරීමටයි,"['කිරීමට', ' කිරීමයි']"
259,ලේඛන,"['ලේන', ' ලේඛණ', ' ලේඛ']"
260,හැකිය,"['හැකි', ' කිය']"
261,මඩකලපුව,"['මඩකලපු', ' මඩකළපුව']"
262,කාර්යාලයේ,['කාර්යාල']
263,පැවැත්වූ,['පැවැත්ව']
264,ඉදිරිපත්,['ඉදිරිත්']
265,දරුවෙකු,['දරුවකු']
266,කිරීමෙන්,['කිරීමෙ']
267,මාසයේ,['මාස']
268,බලපෑම්වලට,['බලපෑම්වල']
269,නිරතුරුවම,['නිරතුරුව']
270,මුහුණ,"['මුණ', ' මුහුන', ' මුහු']"
271,ලියනගේ,"['ලියන', ' ලියගේ']"
272,සටහන්,"['සහන්ට', ' සටන්', ' හසන්ට', ' සහන්']"
273,කිරීමේ,['කිරී']
274,පද්ධතිය,['පද්ධති']
275,ගිවිසුම්,['විසුම්']
276,ගැනීම,"['ගැනී', ' ගැණීම']"
277,විනෝදාස්වාදය,['විනෝදාස්වාද']
278,සමාලෝචනය,['සමාලෝචන']
279,දේශීය,['දේය']
280,මගින්,"['මගි', ' මඟින්', ' මන්', ' ගිමන්']"
281,ඇන්ඩ්,"['ඇඩ්', ' ඇන්']"
282,අවස්ථාවේ,['අවස්ථා']
283,නිකුත්,['කුත්']
284,පදනම්ව,['පදනම්']
285,වශයෙන්,"['වසයෙන්', ' වශයෙ']"
286,ඉල්ලීම්,['ඉල්ලී']
287,තීරණය,"['තීරය', ' තීරනය', ' තීරණ']"
288,පරීක්ෂණ,"['පරීක්ෂන', ' පරීක්ෂ']"
289,පරිමාණ,"['පරිමාන', ' පරිමා']"
290,හේතුවෙන්,['හේතුවෙ']
291,සේවකයන්,['සේවකය']
292,දෙනෙකුට,['දෙනෙකු']
293,රක්ෂණ,['ක්ෂණ']
294,දායක,['යක']
295,නිලධරයන්,['නිලධරය']
296,නිර්දේශය,['නිර්දේශ']
297,කමිටුවේ,"['කටුවේ', ' කමිටු']"
298,පුනරුත්ථාපනය,"['පුනරුත්ථාපන', ' පුනරුත්තාපනය']"
299,කරුණු,"['කරුනු', ' කණු', ' කරු']"
300,කරමින්,"['කමින්', ' කරමි', ' කරන්']"
301,හඳුනා,['හනා']
302,ගැනීමට,"['ගැණීමට', ' ගැනීම']"
303,පාසල්වලට,['පාසල්වල']
304,රාශියක්,['රාශිය']
305,ඉක්මවා,['ඉක්ම']
306,නැගෙනහිර,"['නැඟෙනහිර', ' නැගනහිර']"
307,ගෙවීම්,['ගෙවී']
308,රුපියල්,['පියල්']
309,ඇමෙරිකානු,"['ඇමෙරිකා', ' ඇමරිකානු']"
310,ඇතුළුව,"['ඇතුලුව', ' ඇතුව', ' ඇතුළු']"
311,යහපත්,['යපත්']
312,කරගැනීම,['කරගැනී']
313,නායකයන්ගේ,['නායකයන්']
314,රැස්වීම,['රැස්වී']
315,හෙවත්,"['හෙව', ' හවත්']"
316,සම්පූර්ණ,"['සම්පූර්න', ' සම්පූර්']"
317,ඇත්තේ,['ඇත්']
318,සංස්ථාව,['සංස්ථා']
319,බැංකුව,['බැංකු']
320,පැවරීමේ,['පැවරී']
321,නියෝජිතයන්,['නියෝජිතය']
322,සායනය,"['සාන', ' සායනය']"
323,උපදේශන,['උපදේශ']
324,සේවයේ,['සේව']
325,දෙනෙක්,['දනක්']
326,දෙකකින්,['දෙකකි']
327,බදුල්ල,['බල්ල']
328,ඇතුළු,"['ඇතු', ' ඇතුලු']"
329,සමීක්ෂණය,['සමීක්ෂණ']
330,දැන්වීම්,"['දැන්වී', ' දැවීම්']"
331,පිරිවැය,"['වැපිරිය', ' පිරිය']"
332,පුළුල්,"['පුල්', ' පුලුල්']"
333,බලංගොඩ,"['බළංගොඩ', ' බලගොඩ']"
334,මීරිගම,['මීගම']
335,අවුරුදු,['අවුරු']
336,නිවාසවලට,['නිවාසවල']
337,දිනයට,"['නයට', ' දිනට', ' දියට', ' නදියට', ' දිනය']"
338,කාලසීමාව,['කාලසීමා']
339,පිරිවැයක්,['පිරිවැය']
340,නැංවීම,"['නැවීම', ' නැංවී']"
341,මාදම්පේ,"['මාම්පේ', ' දම්පේ']"
342,ශාලාව,"['ශාලා', ' සාලාව']"
343,කර්මාන්තයේ,['කර්මාන්ත']
344,ලාභයක්,"['ලාබයක්', ' ලාභය', ' භයක්']"
345,පිහිනුම්,['පිනුම්']
346,අවිවාහක,['විවාහක']
347,සහෝදරියන්,['සහෝදරිය']
348,පෝද්දල,['පද්දල']
349,විශේෂඥ,['විශේෂ']
350,දැනුම,"['දැණුම', ' දැම']"
351,අරමුණින්,['අරණින්']
352,උපදේශක,['උපදේශ']
353,ගන්නා,['ගන්']
354,ඵලදායි,"['ඵලදා', ' ඵලයි', ' පලදායි']"
355,පාඨමාලාව,['පාඨමාලා']
356,වගන්තියේ,['වගන්ති']
357,සංස්ථාවේ,['සංස්ථා']
358,විශෝධන,['ශෝධන']
359,සපයා,['සප']
360,කරන්නන්,"['කන්නන්', ' කරන']"
361,වර්ෂයකට,"['වර්ෂයක', ' වර්ෂයට']"
362,අනුගමනය,['අනුගමන']
363,උත්තේජක,['උත්තේජ']
364,වගුවෙන්,['වගුවෙ']
365,විමසුමට,['විමසුම']
366,වාහනයේ,['වාහන']
367,කවුන්සිලයේ,['කවුන්සිල']
368,කණ්ණාඩි,"['කණ්ඩි', ' කන්නාඩි']"
369,පමණි,"['පමනි', ' මණි']"
370,ගෙවීමේ,['ගෙවී']
371,රථයක්,['රථය']
372,හෙද,"['හදෙ', ' හද']"
373,පොලිස්,"['පලිස්', ' පොලි']"
374,සංශෝධනය,['සංශෝධන']
375,පරිවර්තනය,"['පරිවර්තය', ' පරිවර්තන', ' පරිවර්ථනය']"
376,පළාත්වලට,"['පත්වලට', ' පළාත්වල']"
377,කෝරලේ,"['කෝලේ', ' කෝරළේ', ' කරලේ']"
378,විකිණීම,['විකිණී']
379,සබරගමුව,['සබරගමු']
380,පාලම්,"['පාම්', ' පාල']"
381,පළාත්වල,['පත්වල']
382,දිනුම්,['දිනු']
383,අගලවත්ත,['අලවත්ත']
384,මාර්ගයෙහි,['මාර්ගයෙ']
385,ලෙජරයේ,['ලෙජර']
386,කමිටුවට,['කටුවට']
387,ඉකුත්,"['ඉත්', ' කුත්']"
388,පාඩුව,"['පාව', ' පාඩු']"
389,වකවානුව,['කානු']
390,කිහිපයක්,['කිහිපය']
391,දැක්වේ,['දැවේ']
392,සේවයෙන්,"['සේවෙන්', ' සේවයෙ']"
393,සංශෝධනයේ,['සංශෝධන']
394,තනතුරුවලට,['තනතුරුවල']
395,කාත්තන්කුඩි,['කාතන්කුඩි']
396,පල්ලියේ,['පල්ලි']
397,මාපිය,['පිය']
398,අත්හැරීමට,['අත්හැරීම']
399,යොමු,['යමු']
400,ගෙවීම,['ගෙවී']
401,වසරෙහි,['වසරෙ']
402,පරීක්ෂාව,['පරීක්ෂා']
403,ගබඩාව,['ගබඩා']
404,කෝවිල,['කෝල']
405,අලුතින්,"['අතින්', ' අළුතින්']"
406,සැපයීම,"['සැපයී', ' සැපම']"
407,මීගමුව,['මීගමු']
408,පේරාදෙණිය,"['පේරාදෙණි', ' පේරාදෙනිය']"
409,කෙරෙමින්,"['කෙරෙන්', ' කෙරෙමි', ' කරමින්']"
410,දැරීමේ,"['දැමේ', ' දැරී']"
411,හැටන්,['හැට']
412,නිලධරයා,['නිලධර']
413,තේරීම්,['තේරී']
414,විකිණීමට,"['විකිණීම', ' විකිනීමට']"
415,පද්ධතියේ,['පද්ධති']
416,තාක්ෂණ,['ක්ෂණ']
417,නිලධරයෝ,['නිලධරය']
418,විගණනයේ,"['ගණනයේ', ' විගණන']"
419,නිරීක්ෂණය,"['නිරීක්ෂනය', ' නිරීක්ෂණ']"
420,පිහිටුවීමේ,['පිහිටුමේ']
421,ශීර්ෂය,['ශීර්ෂ']
422,නිලධාරීන්ට,['නිලධාරීන්']
423,බැලීමේ,"['බැලී', ' ලීමේ', ' බැමේ']"
424,හැකියාව,"['හැකියා', ' හැකිව']"
425,පත්වීම්,['පත්වී']
426,ස්වර්ණ,['වර්ණ']
427,මන්දිරය,['මන්දිර']
428,සංසද,"['සංස', ' සංසද']"
429,සාමාජිකත්වය,['සාමාජිකත්ව']
430,එමගින්,"['එමඟින්', ' මගින්']"
431,පෝෂක,['පෝෂ']
432,ඔවුන්,"['ඔවු', ' ඔන්']"
433,පිළිබඳව,"['පිළිබදව', ' පිලිබඳව', ' පිළිබඳ']"
434,පවර්,"['පර්', ' පව', ' පර්ව']"
435,කෙසේ,"['කසේ', ' කෙ']"
436,නිලධරයකුගේ,['නිලධරයකු']
437,වීමක්,"['වීම', ' මක්']"
438,ඉගෙනීම,['ගෙනීම']
439,අවස්ථා,"['අවස්', ' අවස්තා']"
440,ඒකාබද්ධතාව,"['ඒකාබද්ධව', ' ඒකාබද්ධතා']"
441,සිලෝන්,['සිලෝ']
442,රාමුවේ,"['රාමු', ' රාවේ', ' මුවේ']"
443,වැඩසටහනෙහි,['වැඩසටහනෙ']
444,සාක්ෂරතාව,['සාක්ෂරතා']
445,දරමින්,"['දරමි', ' දමින්', ' දරන්']"
446,මට්ටමෙන්,['මට්ටමෙ']
447,හැඳින්වීම,['හැඳින්වී']
448,මට්ටමකට,['මට්ටමට']
449,පරිවර්තන,['පරිවර්ත']
450,ඡේදයේ,['ඡේද']
451,උපදෙස්වලට,['උපදෙස්වල']
452,කෝකිල,"['කෝකි', ' කෝල']"
453,නිලධාරින්ට,"['නිලධාරිට', ' නිලධාරින්']"
454,සහයෝගිතාව,['සහයෝගිතා']
455,අලංකාර,['ලංකාර']
456,පොලීසියේ,['පොලීසි']
457,සාකච්ඡාවේ,['සාකච්ඡා']
458,ධර්මයෙහි,['ධර්මයෙ']
459,හැසිරෙන්න,"['හැරෙන්න', ' හැසිරෙන']"
460,ආහාර,"['හාර', ' ආර']"
461,වෙළඳපොළ,"['වෙලඳපොල', ' වෙළඳපළ']"
462,උලෙළ,"['උළෙල', ' උලෙල', ' ලෙළ']"
463,ගම්මානය,['ගම්මාන']
464,ඉදිකරන,['ඉදිකර']
465,කලාපීය,['කලාය']
466,සම්බන්ධීකරණය,['සම්බන්ධීකරණ']
467,පුරවැසියන්,['පුරවැසිය']
468,සිසුවියන්,['සිසුවිය']
469,අයිරා,"['අරා', ' අයි']"
470,පිරවීම,['පිරවී']
471,සටහනෙහි,['සටහනෙ']
472,සංගමයට,['සංගමය']
473,කොට්ඨාසය,"['කොට්ඨාස', ' කොට්ටාසය']"
474,කොට්ඨාසයේ,"['කොට්ටාසයේ', ' කොට්ඨාස']"
475,එහෙත්,['එහෙ']
476,සැපයීම්,['සැපයී']
477,විකාශනය,"['විකාශය', ' විකාශන']"
478,පැවතිණි,"['පැවතිනි', ' පැවති']"
479,එවැනි,['වැනි']
480,පියවරක්,['පියවර']
481,ගැනීමෙන්,['ගැනීමෙ']
482,ගාස්තුව,['ගාස්තු']
483,ජලාශය,['ජලාශ']
484,කොමිසමක්,['කොමිසම']
485,කිරීමකින්,['කිරීමකි']
486,කමිටුව,"['කටුව', ' කමිටු']"
487,වගන්තිය,['වගන්ති']
488,පොලී,"['පො', ' පොළී']"
489,නිපුණතාව,['නිපුණතා']
490,නිලධරයන්ට,"['නිලධරයන්', ' නිලධරයට']"
491,හැරවීම,['හැරවී']
492,කුලියට,"['ලියට', ' කුලිය']"
493,කඳවුරක්,['කඳවුර']
494,මහජනතාව,['මහජනතා']
495,මෙය,['මෙ']
496,පෙන්වා,['පෙන්']
497,පන්තියේ,['පන්ති']
498,පිළිගැන්වීම,['පිළිගැන්වී']
499,නිලධාරීන්ගේ,['නිලධාරීන්']
500,පෙන්නුම්,['පෙනුම්']
501,ගවයන්,"['ගයන්', ' ගවය']"
502,පෝෂණ,['පෝෂ']
503,සැපයීමේ,['සැපයී']
504,ලැබෙන,['බෙන']
505,අධිකාරියට,"['අධිකාරිට', ' අධිකාරිය', ' අදිකාරියට']"
506,නොගෙවූ,['නොගෙව']
507,බැඳීම්,"['බැඳී', ' බැදීම්']"
508,කරගැනීමේ,['කරගැනී']
509,පෝරු,['පෝ']
510,පරිවර්තක,['පරිවර්ත']
511,ගැන්වීම,['ගැන්වී']
512,පුරෝකථනය,['පුරෝකථන']
513,සිදුවන,"['දුවන', ' සිදුව']"
514,නිෂ්පාදනයක්,['නිෂ්පාදනය']
515,වෙළඳපොළට,"['වෙළඳපොළ', ' වෙළඳපළට']"
516,පිළිගැනීමේ,['පිළිගැනී']
517,කොහු,['කො']
518,මොරටුව,['මොරටු']
519,කිරීමකට,['කිරීමක']
520,කිසියම්,"['සියම්', ' යම්කිසි']"
521,විකාශය,"['විකාශ', ' විශය']"
522,රැසක්,"['සක්', ' රැස']"
523,කෙරෙන,['කරන']
524,සතියේ,"['සති', ' තියේ']"
525,ලැබීම්,"['බීම්', ' ලැබී']"
526,වෙන්,['වන්']
527,අත්දැකීම්,['අත්දැකී']
528,සුවිශේෂී,['විශේෂී']
529,ආදේශ,['දේශ']
530,සටහන්වල,"['සටන්වල', ' සටහන්ව']"
531,ජපානයේ,"['පානයේ', ' ජපාන']"
532,පටිපාටිය,['පටිපාටි']
533,නිව්ස්,"['නිව්', ' නිස්']"
534,විකාශන,['විකාශ']
535,සමෘද්ධිය,['සමෘද්ධි']
536,යුක්තියේ,['යුක්ති']
537,අධිකරණයේ,['අධිකරණ']
538,පෙනී,"['පෙ', ' පනී']"
539,ඇරඹීම,"['ඇරඹී', ' ඇඹීම']"
540,ඌනතාව,['ඌනතා']
541,කළමනාකාරිත්වය,['කළමනාකාරිත්ව']
542,ළමයින්ට,"['ළමයින්', ' ලමයින්ට']"
543,කාන්තාවන්ට,['කාන්තාවන්']
544,හිතකර,['හිතක']
545,හෙට,['හට']
546,ඒකකයේ,"['ඒකක', ' ඒකකයේ']"
547,තීරණවලට,['තීරණවල']
548,ගිණුමේ,['ගිමේ']
549,සලාකය,['සලාක']
550,සැසිවාරය,['සැසිවාර']
551,සමාරම්භක,['සමාරම්භ']
552,පිහිටුවීමට,['පිහිටුමට']
553,භූමියෙහි,['භූමියෙ']
554,දුෂ්කරතාවලට,['දුෂ්කරතාවට']
555,පියවා,"['වාපිය', ' යවා', ' පිය']"
556,ගත්තේය,['ගත්තේ']
557,මනෝජ්,['මනෝ']
558,අපේක්ෂකයන්,['අපේක්ෂකය']
559,දෙනෙකුගේ,['දෙනෙකු']
560,සේවාව,['සේව']
561,සිටිමි,['සිටි']
562,නෝනා,['නෝ']
563,කථාවේ,"['කවේ', ' කථා', ' කතාවේ']"
564,දැරීම,"['රීම', ' දැරී', ' දැම']"
565,යෙදවූ,['යෙදූ']
566,ගෙවුම්,['ගවුම්']
567,නාමලේඛනය,['නාමලේඛන']
568,බලපෑම,['බලපෑ']
569,අවධානය,"['අවදානය', ' අවධාන']"
570,රටෙහි,['රටෙ']
571,පරිසරය,['පරිසර']
572,සම්මුඛ,['සම්මු']
573,පාලම,['පාල']
574,ඉලක්කය,['ඉලක්ක']
575,අයිනේ,"['අනේ', ' අයි']"
576,ගරාජ්,"['ගරා', ' රාජ්']"
577,පාඨමාලාවක්,['පාඨමාලාව']
578,අවබෝධතා,['අවබෝධ']
579,නියුක්ති,['යුක්ති']
580,ගෘහය,['ගෘහ']
581,නිවැරදි,['වැරදි']
582,අපේක්ෂා,['අක්ෂා']
583,නිලධරයකු,['නිලධරය']
584,බලපත්,['බලත්']
585,සුපර්,['පර්']
586,වගුවෙහි,['වගුවෙ']
587,ශාලාවේ,"['ශාලා', ' සාලාවේ']"
588,පුල්ලි,['පුල්']
589,රෝගයට,['රෝගය']
590,නැගුම,"['නැම', ' නැඟුම']"
591,පරිපාලනයේ,['පරිපාලන']
592,අවාරයේ,"['වාරයේ', ' අවාර', ' අරයේ']"
593,එදිනෙන්,['දිනෙන්']
594,දරන්නා,"['දන්නා', ' දරනා', ' දරන්']"
595,පාර්ලිමේන්තුවේ,['පාර්ලිමේන්තු']
596,උත්සවයේ,['උත්සව']
597,නිලධාරීහු,['නිලධාරී']
598,තරගාවලිය,"['තරගාවලි', ' තරඟාවලිය']"
599,කරන්නේ,"['කන්නේ', ' කරන්']"
600,සංවර්ධිත,['සංවර්ත']
601,විකිණීම්,['විකිණී']
602,නැඟීම,"['නැම', ' නැගීම', ' නැඟී']"
603,ඉන්දියන්,['ඉදිය']
604,ආතර්,"['ආත', ' ආර්']"
605,වාර්තාවේ,['වාර්තා']
606,කරුණුවලින්,['කණුවලින්']
607,මූලධර්මවලට,['මූලධර්මවල']
608,මෙසේ,"['මසේ', ' මෙ']"
609,ලක්වූ,['ලක්ව']
610,කිලිනොච්චියේ,['කිලිනොච්චි']
611,වැඩමුළුවේ,['වැඩමුළු']
612,ඵලදායිතාව,['ඵලදායිතා']
613,නෙට්,['නෙ']
614,වාර්තාවෙන්,['වාර්තාවෙ']
615,සංදේශය,"['සංදේශ', ' සංශය']"
616,ඇමතිතුමාගේ,['ඇමතිතුමා']
617,ලේකම්වරයාට,['ලේකම්වරයා']
618,විරැකියාව,['රැකියාව']
619,දැමීම,"['මීම', ' දැම']"
620,වගකීමට,['වගකීම']
621,සිටින,['සිටි']
622,අභියාචනාධිකරණයේ,['අභියාචනාධිකරණ']
623,ආපදා,"['ආප', ' ආදා']"
624,විත්තිකරුවන්ට,['විත්තිකරුවන්']
625,කරුණුවල,"['කණුවල', ' කරුවල']"
626,සිද්ධාන්තය,['සිද්ධාන්ත']
627,සිටින්නන්,['සිටින']
628,සේවයෙහි,['සේවයෙ']
629,අංශයෙහි,['අංශයෙ']
630,සමිතිවල,['සතිවල']
631,සම්මේලනය,['සම්මේලන']
632,මැණික්,"['මැක්', ' මැනික්']"
633,හදවත්,"['හදත්', ' හවත්']"
634,ළමුන්,"['ලමුන්', ' මුන්']"
635,කැඳවීමේ,"['කැඳවී', ' කැවීමේ']"
636,තුනක,['තුන']
637,දැනටමත්,"['දැනටත්', ' දැනටම']"
638,වැඩපිළිවෙළට,['වැඩපිළිවෙළ']
639,දායකත්වයක්,['දායකත්වය']
640,කාර්තුවේ,['කාර්තු']
641,දෝෂ,['දෝ']
642,නාලිකාව,"['නාළිකාව', ' නාලිකා']"
643,පුපුරන,"['පුපුරන', ' පුපුර', ' පුපුරණ']"
644,සමූහාණ්ඩුව,['සමූහාණ්ඩු']
645,කෙරෙනුයේ,"['කෙරෙනු', ' කරනුයේ']"
646,දැක්ම,"['ක්ම', ' දැම']"
647,තිරසාර,"['තිසා', ' රසාර', ' තිරසාර']"
648,බැංකුවේ,['බැංකු']
649,ඇඟවීම්,['ඇඟවී']
